"id","__typename","_deleted","_lastChangedAt","_ttl","_version","createdAt","title","updatedAt"
"072c1f3b-b279-4bba-af0b-9d7127d9ccaf","Cosmetic","false","1664810664938","1667402664","2","2022-09-27T03:55:33.082Z","ㅁㄴㅇ","2022-09-27T03:55:33.082Z"
"4e036643-b984-4304-b668-1c8612a52165","Cosmetic","false","1664810665358","1667402665","3","2022-09-27T02:01:36.646Z","화장품1","2022-10-01T03:05:34.426Z"
"fa5f1aae-3867-4e6c-bd9e-2b5ae956eb37","Cosmetic","false","1664593198175","1667185198","2","2022-09-27T02:02:42.168Z","성분1","2022-09-27T02:02:42.168Z"
"0a2f78d6-d272-4cb3-baf7-f04baa821329","Cosmetic","false","1664810666006","1667402666","2","2022-09-27T02:07:21.215Z","화장품2","2022-09-27T02:07:21.215Z"
"355664e9-a2f9-4df6-bddb-5ac7d0933bed","Cosmetic","false","1664810668446","1667402668","13","2022-09-24T10:25:33.608Z","cosmeric1","2022-10-01T03:01:23.395Z"
"44a8c478-510d-4679-a7ab-5d4f79141fbf","Cosmetic","true","1664810668555","1667402668","2","2022-09-27T04:01:49.078Z","ㅂㅈㄷ","2022-09-27T04:01:49.078Z"
"c1a96bd9-188c-4518-be74-d7aeea1432e2","Cosmetic","true","1664250935412","1666842935","3","2022-09-27T02:04:14.489Z","화장품1","2022-09-27T02:04:14.489Z"
"85be94f7-5bc8-46b4-b765-d71dbb05889f","Cosmetic","true","1664810669421","1667402669","2","2022-09-27T03:51:35.481Z","25465","2022-09-27T03:51:35.481Z"
"94f0ae70-c0dc-4c3c-9abc-cce5f5c239b0","Cosmetic","true","1664810670172","1667402670","4","2022-09-27T02:02:19.526Z","ㅁㄴㅇㅁㄴㅁㄴㅇ","2022-09-27T06:03:11.024Z"
"2216efc7-21a6-47d3-85ec-8cb1b9c41a89","Cosmetic","true","1664810670748","1667402670","2","2022-09-27T02:00:04.749Z","ㅁㄴㅇ","2022-09-27T02:00:04.749Z"
"e8dca96b-2d07-45e9-bd93-477c98bf1c09","Cosmetic","true","1664810671159","1667402671","2","2022-09-27T04:33:12.700Z","ㅈㅂㄷㅈㅂㄷ","2022-09-27T04:33:12.700Z"
"28e0020e-6d34-46c3-b425-a03bf309a3ce","Cosmetic","true","1664810671252","1667402671","2","2022-09-27T04:01:44.828Z","ㅈㄱ","2022-09-27T04:01:44.828Z"
"d9d57561-d713-4612-90f2-f7e78d6724aa","Cosmetic","true","1664810671503","1667402671","2","2022-09-27T02:00:09.667Z","ㅁㅇ","2022-09-27T02:00:09.667Z"
"fdf3be18-b53b-4f28-8862-7be177a22b1c","Cosmetic","true","1664211364696","1666803364","5","2022-09-26T16:28:51.883Z","ㅁㄴㅇ","2022-09-26T16:28:51.883Z"
"e5455718-25b9-456a-b092-6561f2562be7","Cosmetic","true","1664810671863","1667402671","2","2022-09-27T02:02:47.264Z","성분2","2022-09-27T02:02:47.264Z"